datetime,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-12-24T07:33:00-05:00,622.36,622.36,622.31,622.32,298.0,622.35,622.35,622.29,622.31,622.36,622.37,622.32,622.33
2025-12-24T07:34:00-05:00,622.34,622.4,622.34,622.4,876.0,622.31,622.41,622.29,622.38,622.33,622.42,622.32,622.4
2025-12-24T07:35:00-05:00,622.4,622.4,622.36,622.37,2709.0,622.38,622.4,622.35,622.36,622.4,622.42,622.39,622.39
2025-12-24T07:36:00-05:00,622.39,622.42,622.39,622.39,600.0,622.36,622.43,622.36,622.36,622.39,622.45,622.38,622.39
2025-12-24T07:37:00-05:00,622.38,622.43,622.38,622.43,80.0,622.36,622.46,622.36,622.45,622.39,622.47,622.39,622.47
2025-12-24T07:38:00-05:00,622.45,622.45,622.42,622.42,1210.0,622.45,622.45,622.38,622.38,622.47,622.47,622.4,622.4
2025-12-24T07:39:00-05:00,622.41,622.43,622.41,622.42,479.0,622.38,622.42,622.37,622.4,622.4,622.44,622.39,622.43
2025-12-24T07:40:00-05:00,622.43,622.44,622.39,622.44,619.0,622.4,622.45,622.37,622.4,622.43,622.47,622.39,622.44
2025-12-24T07:41:00-05:00,622.43,622.44,622.4,622.4,378.0,622.4,622.43,622.38,622.38,622.44,622.46,622.4,622.4
2025-12-24T07:42:00-05:00,622.39,622.39,622.38,622.38,299.0,622.38,622.39,622.35,622.36,622.4,622.4,622.38,622.38
2025-12-24T07:43:00-05:00,622.4,622.41,622.4,622.41,325.0,622.36,622.42,622.35,622.42,622.38,622.44,622.37,622.43
2025-12-24T07:44:00-05:00,622.41,622.41,622.41,622.41,0.0,622.42,622.42,622.39,622.41,622.43,622.44,622.42,622.43
2025-12-24T07:45:00-05:00,622.43,622.43,622.42,622.42,150.0,622.41,622.43,622.4,622.43,622.43,622.46,622.43,622.45
2025-12-24T07:46:00-05:00,622.44,622.45,622.42,622.45,448.0,622.43,622.45,622.4,622.44,622.45,622.47,622.42,622.46
2025-12-24T07:47:00-05:00,622.45,622.45,622.44,622.45,532.0,622.44,622.45,622.42,622.45,622.46,622.46,622.44,622.46
2025-12-24T07:48:00-05:00,622.44,622.44,622.41,622.42,449.0,622.45,622.45,622.4,622.41,622.46,622.46,622.42,622.43
2025-12-24T07:49:00-05:00,622.41,622.41,622.41,622.41,618.0,622.41,622.41,622.39,622.39,622.43,622.43,622.41,622.41
